src,trg,w
25,2956,1
25,2961,1
25,2995,1
25,3012,1
25,3020,1
25,3038,1
25,3040,1
25,3052,1
25,3054,1
25,3058,1
25,3066,2
25,3082,1
25,3097,1
25,3104,1
25,3120,1
25,3121,1
25,3125,2
25,3132,1
25,3134,2
25,3176,1
25,3181,3
25,3196,2
25,3225,1
25,3229,1
25,3237,6
25,3239,6
25,3248,3
25,3281,5
25,3291,1
25,3299,1
25,3300,2
25,3315,2
25,3368,1
25,3369,1
25,3393,2
25,3397,1
25,3398,2
25,3430,1
25,3484,1
25,3486,1
25,3508,1
25,3516,4
25,3518,1
25,3533,1
25,3545,1
25,3546,1
25,3570,2
25,3577,1
25,3581,1
25,3582,2
25,3595,1
25,3601,1
25,3622,1
25,3629,1
25,3637,1
25,3666,3
25,3685,1
25,3689,1
25,3706,1
25,3707,1
25,3709,1
25,3713,1
25,3730,1
25,3752,1
25,3904,3
25,3912,2
25,3921,1
25,3926,2
25,3933,4
25,3944,1
25,3956,1
25,3963,1
25,3982,1
25,3993,1
25,3997,1
25,3998,1
25,4001,4
25,4024,3
25,4042,1
25,4063,1
25,4070,2
25,4084,1
25,4099,1
25,4106,1
25,4107,1
25,4114,1
25,4125,1
25,4156,1
25,4336,1
25,4339,1
25,4342,1
25,4351,1
25,4591,1
25,4637,1
25,4816,1
25,4837,1
25,4949,1
25,5036,1
25,5082,1
25,5087,1
25,5092,1
25,5190,1
25,5243,1
25,5277,1
25,5298,1
25,5320,1
25,5327,1
25,5372,1
25,5391,1
25,5436,1
25,5437,1
25,5438,1
25,5440,1
25,5461,2
25,5504,1
25,5509,1
25,5537,1
25,5575,1
25,5606,2
25,5625,1
25,5679,1
25,5686,1
25,5699,1
25,5765,1
25,5789,1
25,5794,1
25,5834,1
25,5839,1
25,5853,1
25,5881,1
25,5884,2
25,5891,2
25,5900,1
25,5915,1
25,5944,1
25,5978,1
25,5980,1
25,5985,1
25,6028,2
25,6035,1
25,6037,1
25,6039,1
25,6046,1
25,6139,5
25,6159,1
25,6181,1
25,6199,1
25,6201,1
25,6223,1
25,6228,3
25,6299,1
25,6328,2
25,6331,1
25,6341,1
25,6352,1
25,6353,1
25,6358,1
25,6382,2
25,6384,1
25,6387,1
25,6392,1
25,6395,2
25,6398,2
25,6399,1
25,6401,1
25,6431,1
25,6434,2
25,6475,2
25,6483,1
25,6495,1
25,6503,1
25,6518,1
25,6527,1
25,6528,2
25,6540,1
25,6541,1
25,6542,1
25,6552,2
25,6565,1
25,6581,7
25,6641,1
25,6653,1
25,6665,1
25,6669,1
25,6694,1
25,6699,1
25,6717,1
25,6725,2
25,6730,1
25,6737,1
25,6745,1
25,6749,1
25,6766,1
25,6785,1
25,6825,2
25,6831,2
25,6865,1
25,6889,1
25,6918,1
25,6951,1
25,6958,2
25,6984,1
25,7130,1
25,7180,1
25,7342,1
25,7382,1
25,7394,1
25,7405,1
25,7424,1
25,7448,3
25,7499,1
25,7638,1
25,7640,7
25,7653,1
25,7734,1
25,7753,1
25,7792,1
25,7815,1
25,7866,1
25,7904,1
25,8023,1
25,8412,1
25,8440,1
25,8462,1
25,8473,1
25,8545,1
25,8597,1
25,8621,1
25,8828,1
25,8848,1
25,8888,1
25,8893,1
25,8895,1
25,8941,1
25,8942,3
25,8951,1
25,8956,3
25,8961,3
25,8962,1
25,8964,1
25,8965,5
25,8971,2
25,8979,1
25,8981,1
25,8983,3
25,8987,1
25,8989,4
25,9001,4
25,9004,1
25,9017,1
25,9033,2
25,9035,1
25,9046,3
25,9048,1
25,9049,2
25,9113,1
25,9120,1
25,9121,3
25,9122,2
25,9130,4
25,9132,1
25,9136,5
25,9148,1
25,9149,1
25,9150,5
25,9156,2
25,9160,2
25,9161,2
25,9163,1
25,9164,1
25,9167,1
25,9180,1
25,9188,1
25,9203,2
25,9227,1
25,9241,3
25,9255,1
25,9261,1
25,9290,1
25,9297,1
25,9316,6
25,9333,1
25,9335,1
25,9336,1
25,9346,1
25,9355,5
25,9360,1
25,9370,1
25,9375,1
25,9390,1
25,9405,3
25,9651,1
25,9701,1
25,9764,1
25,9766,1
25,9771,1
25,9894,1
25,9925,1
25,9931,1
25,9984,1
25,10053,1
25,10076,1
25,10121,1
25,10289,3
25,10300,1
25,10319,1
25,10344,1
25,10398,1
25,10419,1
25,10425,1
25,10427,1
25,10451,1
25,10452,1
25,10454,1
