srg,trg,w
77,13872,1
77,14398,1
77,14461,1
77,14645,1
77,14664,1
77,14693,1
77,14772,1
77,14831,1
77,15212,1
78,1031,1
78,1160,1
78,1460,1
78,1788,1
78,1915,1
78,2313,1
78,2359,1
78,2362,1
78,2652,1
78,3034,1
78,3237,1
78,5362,1
78,6212,1
78,6406,1
78,6731,1
78,7429,1
78,7514,1
78,13099,1
79,1219,1
79,13743,1
79,13749,1
79,13810,1
79,14577,1
80,1306,1
80,2069,1
80,2851,1
81,1093,1
81,1219,1
81,4993,1
81,10049,1
81,10081,1
81,10163,1
81,10348,1
81,10752,1
81,10780,1
81,11268,1
81,11852,1
82,456,1
82,2009,1
82,2282,1
82,3753,1
82,6785,1
82,7310,1
82,9951,1
83,348,1
83,13337,1
84,306,1
84,380,1
84,501,1
84,604,1
84,698,1
84,736,1
84,771,1
84,789,1
84,1685,1
84,1742,1
84,1992,1
84,2090,1
84,2318,1
84,2350,1
84,2395,1
84,2687,1
84,3035,1
84,3119,1
84,3125,1
84,3217,1
84,3356,1
84,5882,1
84,7169,1
84,7555,1
84,8979,1
84,8992,1
84,9125,1
84,9143,1
84,9159,1
84,9286,1
84,9338,1
84,9360,1
84,9389,1
84,10110,1
84,10334,1
84,10852,1
84,13234,1
84,13697,1
84,14099,1
84,14421,1
84,14486,1
84,14600,1
84,14729,1
84,14818,1
89,1387,1
89,3280,1
89,7279,1
91,12990,1
91,13779,2
92,13330,1
95,1264,1
95,10630,1
95,10822,1
95,10869,1
95,13059,1
95,13315,1
96,1732,1
96,1776,1
96,1857,1
96,1950,1
96,1994,1
96,2005,3
96,2089,1
96,2092,1
96,2460,1
96,2573,2
96,6981,1
96,7390,1
96,8929,1
97,473,1
97,1179,1
97,1318,1
97,1343,1
97,1354,1
97,2034,1
97,2099,1
97,3651,1
97,3673,1
97,3689,1
97,3962,1
97,3963,1
97,4010,1
97,4839,1
97,5190,1
97,5246,1
97,5482,1
97,9334,1
97,12914,1
97,13080,1
97,13263,1
97,13700,1
97,13831,1
97,13833,1
97,13866,1
97,14108,1
99,1095,1
99,1710,1
99,2977,1
99,3672,1
99,3935,1
99,10014,1
99,13005,1
99,13082,1
99,13124,1
99,13296,1
99,13659,1
99,13700,2
99,13702,1
99,13744,2
100,3708,1
100,10815,1
100,13030,1
100,13298,1
100,13653,1
100,13716,1
100,13725,1
101,1881,1
101,2194,1
104,1104,1
104,1594,1
104,1747,1
104,1753,1
104,2333,1
104,2390,1
104,3313,1
104,13095,1
104,13241,1
104,13645,1
104,13682,1
104,13702,1
104,13911,1
104,15547,1
107,315,1
107,999,1
107,1104,1
107,1418,1
107,1573,1
107,1606,2
107,1710,1
107,2351,1
107,2401,1
107,3620,1
107,4043,1
107,5251,1
107,5347,1
107,5631,1
107,5653,1
107,10288,1
107,10784,1
107,10883,1
107,12125,1
107,12808,1
107,12921,1
107,12945,1
107,12978,1
107,13005,1
107,13182,1
107,13244,1
107,13346,1
107,13352,1
107,13373,1
107,13730,1
107,13769,1
107,13785,1
107,13835,1
107,13861,1
107,14326,1
108,13048,1
108,13090,1
108,13093,1
108,13195,1
108,13336,1
108,13650,1
109,969,2
109,1062,1
109,1167,1
109,1247,1
109,1278,1
109,1587,1
109,1606,1
109,1677,1
109,3666,1
109,4005,1
109,4123,1
109,4809,1
109,5451,1
109,5638,1
109,5649,1
109,5694,1
109,8058,1
109,10038,1
109,10601,1
109,12896,1
109,12957,1
109,12982,1
109,13082,1
109,13116,1
109,13654,1
109,13691,1
109,13702,2
109,13715,1
109,13719,1
109,13733,1
109,13734,1
109,13747,1
109,13758,1
109,13780,2
109,13822,1
109,13834,1
109,13846,1
109,13853,1
109,13872,1
109,13878,1
111,1971,1
111,2602,1
112,592,1
112,738,1
112,823,1
112,1937,1
112,2120,1
112,2178,1
112,2456,1
112,2536,1
112,2568,1
112,2780,1
112,3027,1
112,3216,1
112,3396,1
112,4063,1
112,5926,1
112,6447,1
113,1841,1
113,1849,1
113,1970,1
113,2239,1
113,2529,1
113,3136,1
113,3358,1
113,6156,1
113,7359,1
113,10148,1
115,192,1
115,850,1
115,1198,1
115,8152,1
115,10172,1
115,10288,1
115,11468,1
115,12936,1
115,12952,1
115,12993,1
115,13011,1
115,13249,1
115,13352,1
115,13353,2
115,13377,1
115,13739,1
115,13862,1
116,672,1
116,890,1
116,1092,2
116,1257,1
116,1608,1
116,1625,1
116,1806,1
116,1835,1
116,1946,1
116,1972,1
116,2184,1
116,2224,1
116,2387,1
116,2665,1
116,3224,1
116,3847,1
116,5412,1
116,6273,1
116,6658,1
116,7696,1
116,8943,1
116,9117,1
116,9988,1
116,10223,1
116,10238,1
116,10263,1
116,10485,1
116,10662,1
116,10722,1
116,12196,1
116,12348,1
116,12433,1
116,12595,1
116,12665,1
116,12685,1
116,12908,1
116,12910,1
116,12950,1
116,12990,1
116,13093,1
116,13675,1
116,13706,1
116,13756,1
116,13783,1
116,14062,1
116,14449,1
116,14737,1
119,13665,1
119,13671,1
119,13872,1
125,1037,1
125,12606,1
125,13300,1
125,13876,1
127,281,1
127,1531,1
127,1747,1
127,1786,1
127,1793,1
127,1970,1
127,2078,1
127,2467,1
127,2479,1
127,2572,1
127,2623,1
127,4542,1
127,6555,1
127,14402,1
131,226,1
131,491,1
131,819,1
131,1376,1
131,1457,1
131,1532,1
131,1688,1
131,1766,1
131,2378,1
131,2447,1
131,2487,1
131,2607,1
131,3069,1
131,3196,1
131,3250,1
131,5825,1
131,5977,1
131,6342,1
131,6514,1
131,6873,1
131,7071,1
131,10427,1
131,10454,1
131,10509,1
131,10511,1
131,10792,1
131,10873,1
131,10876,1
131,10993,1
131,12996,1
131,14360,1
131,14662,1
131,14815,1
132,1387,1
132,2472,1
132,2622,1
132,3172,2
133,247,1
133,294,1
133,365,1
133,692,1
133,861,1
133,1137,1
133,1853,1
133,1886,1
133,1972,1
133,2001,1
133,2176,1
133,2574,1
133,2774,1
133,3237,1
133,3424,1
133,5865,1
133,5937,1
133,5973,1
133,6078,1
133,6179,1
133,6281,1
133,6403,1
133,6458,1
133,6763,1
133,6775,1
133,6804,1
133,6813,1
133,6835,1
133,7309,1
133,7345,1
133,7364,1
133,7861,1
133,7927,1
133,8001,1
133,8732,1
133,8970,1
133,9318,1
133,10049,1
133,10080,1
133,10102,1
133,10174,1
133,10635,1
133,10661,1
133,10878,1
133,11324,1
133,13669,1
134,1849,1
138,999,1
138,13700,1
141,850,1
141,958,1
141,1198,1
141,1311,1
141,1440,1
141,1702,1
141,2262,1
141,2280,1
141,2316,1
141,2329,1
