id name province latitude longitude
7364 7364 FI 11.20863 43.82063
1886 1886 FI 10.99087 43.745495
6458 6458 FI 10.948031 43.72266
10661 10661 LI 10.496667 43.29571
10878 10878 LI 10.494098 43.300175
8001 8001 PI 10.476696 43.675407
7309 7309 FI 11.172306 43.848263
14126 14126 LU 10.176344 43.95195
3256 3256 FI 11.269444 43.77105
10696 10696 LI 10.538893 43.096607
300 300 GR 11.204453 42.39334
13003 13003 GR 11.122261 42.434486
13815 13815 GR 11.204162 42.393448
2006 2006 FI 11.165089 43.811
920 920 FI 11.160752 43.84819
6571 6571 FI 11.19293 43.83801
3751 3751 SI 11.609608 43.056057
9159 9159 PO 11.039594 43.86216
6805 6805 FI 11.233333 43.984646
13183 13183 GR 10.984074 42.714813
7 7 GR 10.98621 42.71198
12802 12802 AR 11.745383 43.273323
10670 10670 LI 10.529444 43.246944
10399 10399 LI 10.527945 43.2348
10615 10615 LI 10.529167 43.25077
3708 3708 SI 11.819053 43.04881
13109 13109 GR 11.1156 42.439518
5397 5397 SI 11.386256 43.175243
5341 5341 SI 11.555077 43.11803
15544 15544 LU 10.59686 43.88301
14077 14077 LU 10.567338 43.87709
15590 15590 LU 10.580514 43.85865
633 633 PT 10.916761 43.932934
10327 10327 LI 10.451842 43.350117
10380 10380 LI 10.302517 43.548203
8 8 GR 10.881378 42.763813
830 830 GR 10.881784 42.76337
13082 13082 GR 10.877059 42.76247
10579 10579 LI 10.562767 43.226585
10647 10647 LI 10.617684 43.23414
4081 4081 SI 11.460363 42.99409
12500 12500 AR 11.98559 43.27507
12516 12516 AR 11.985781 43.275883
13135 13135 GR 11.111967 42.761833
13744 13744 GR 10.899372 42.773228
99 99 GR 10.880899 42.762875
1095 1095 GR 10.880752 42.76524
3935 3935 SI 11.210691 43.407692
13296 13296 GR 10.881157 42.76422
13659 13659 GR 10.912335 42.7873
13700 13700 GR 10.880937 42.76284
9 9 GR 10.88114 42.76315
1677 1677 GR 10.75708 42.92161
866 866 FI 11.225194 43.771782
7077 7077 FI 11.1429 43.74898
7731 7731 FI 11.22093 43.77377
6666 6666 FI 11.21006 43.77516
1386 1386 FI 11.198333 43.759
5503 5503 SI 11.287727 43.468662
2100 2100 FI 11.247348 43.7665
6347 6347 FI 11.239936 43.77057
13364 13364 GR 10.858194 42.768772
15110 15110 LU 10.668278 43.85087
7609 7609 FI 11.22661 43.77303
12921 12921 GR 10.794318 42.77676
13833 13833 GR 10.873803 42.763344
